Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0420-01593560-26,3,3,D2,"2,400.00",80,91.07,CLONTARF EAST D,04/2020,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01636819,3,5,D2,"2,376.00",90,88.50,CLONTARF EAST D,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1219-01559022-25,3,5,,"2,341.00",90,84.50,CLONTARF EAST D,12/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01771584,3,4,C3,"2,307.00",82,79.36,CLONTARF EAST B,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01587232,3,5,C3,"2,100.00",84,79.36,GRACE PARK,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01630875,3,0,C1,"2,900.00",91,76.86,BEAUMONT D,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01498296,3,6,C1,"2,500.00",75,76.86,CLONTARF WEST B,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01761845,3,5,C2,"3,200.00",89,76.14,BEAUMONT F,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0618-01358435-24,3,5,G,"1,796.00",83,76.00,CLONTARF EAST A,06/2018,2024
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1118-01422616-25,3,5,C2,673.00,90,75.50,CLONTARF WEST A,11/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0425-01381948-26,3,6,B3,"2,500.00",70,,CLONTARF WEST B,04/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01678014,3,4,C2,"3,200.00",70,,BEAUMONT D,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0326-01783966,3,4,B3,"3,500.00",73,,,03/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01758202,3,5,D1,"2,400.00",66,,CLONTARF WEST B,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0624-01035298-25,3,5,F,"2,400.00",66,,CLONTARF WEST B,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01673359,3,2,B3,"1,500.00",75,,DRUMCONDRA SOUTH A,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1218-01425940-25,3,5,D2,"1,150.00",75,,CLONTARF EAST B,12/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0918-01392329-25,3,3,D2,"1,700.00",75,,GRACE PARK,09/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0119-01439881-25,3,4,E1,"1,755.00",65,,CLONTARF WEST B,01/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0525-01431719,3,6,A2,"3,662.00",137,,CLONTARF EAST D,05/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0718-01359560-25,3,0,E1,"2,440.00",138,,CLONTARF EAST D,07/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01160162-25,3,4,C2,"3,500.00",130,,CLONTARF EAST D,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0525-01427263,3,0,A2,"3,878.00",140,,CLONTARF WEST A,05/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01553125-25,3,6,A2,"3,217.00",140,,CLONTARF WEST C,09/2025,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01756811,3,3,A3,"3,770.00",143,,CLONTARF EAST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01478981,3,0,A2,"3,871.00",134,,CLONTARF WEST A,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01773372,3,6,A2,"3,695.00",130,,CLONTARF WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0618-01358664-25,3,0,D1,"1,650.00",140,,HARMONSTOWN B,06/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0719-01503814-25,3,0,D2,"2,034.00",140,,CLONTARF EAST C,07/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0818-01379503-25,3,6,F,"1,270.00",75,,GRACE PARK,08/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01684174,3,5,E2,"2,050.00",78,,GRACE PARK,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01126596-25,3,5,C2,"2,800.00",133,,CLONTARF WEST A,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01559223,3,6,E1,"3,200.00",137,,CLONTARF WEST D,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01148462-25,3,2,D2,"2,175.00",80,,CLONTARF WEST D,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0119-01433702-26,3,5,E2,"1,636.39",80,,GRACE PARK,01/2019,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0624-01033379-25,3,4,E2,"1,479.00",80,,CLONTARF WEST E,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1224-01252283-25,3,6,B3,"2,800.00",81,,GRACE PARK,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01493322,3,0,D1,"2,700.00",82,,BEAUMONT F,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01559884,3,5,E2,"2,750.00",82,,CLONTARF WEST E,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0126-01699735,3,3,C1,"3,300.00",120,,CLONTARF EAST D,01/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0425-01383784,3,6,G,"3,750.00",120,,CLONTARF EAST D,04/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01593896,3,3,C3,"2,900.00",130,,CLONTARF EAST B,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0325-01368811-26,3,0,D1,"3,114.00",130,,GRACE PARK,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0918-01397060-25,3,4,D2,"2,350.00",130,,DRUMCONDRA SOUTH A,09/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01532330,3,3,E1,"3,100.00",85,,CLONTARF EAST B,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01768652,3,5,E2,"2,850.00",85,,CLONTARF WEST A,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0718-01364631-25,3,5,E1,"1,463.00",84,,GRACE PARK,07/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0625-01466200,3,3,D1,"2,040.00",88,,CLONTARF EAST B,06/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0326-01787898,3,0,A3,"3,330.00",120,,DRUMCONDRA SOUTH A,03/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0524-01013912-25,3,0,C3,"2,762.00",123,,BEAUMONT F,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01546812,3,4,D1,"2,700.00",122,,CLONTARF EAST A,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0120-01570135-26,3,6,F,"2,350.00",128,,BEAUMONT F,01/2020,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0624-01025218-25,3,4,,"2,900.00",98,,CLONTARF EAST D,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01603443,3,3,B2,"2,380.00",90,,CLONTARF EAST E,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1019-01535347-25,3,6,D2,"1,663.00",90,,GRACE PARK,10/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01605911,3,5,D2,"2,700.00",90,,CLONTARF WEST E,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0519-01479691-25,3,5,D2,"2,041.00",90,,BEAUMONT F,05/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0119-01435553-26,3,3,D2,"1,500.00",90,,BEAUMONT D,01/2019,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01150317-25,3,5,D2,"1,735.00",90,,BEAUMONT F,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0419-01471710-25,3,0,,"1,950.00",110,,CLONTARF EAST D,04/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01557500,3,2,B2,"1,100.00",120,,BEAUMONT F,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01638817-26,3,5,B3,"2,800.00",120,,GRACE PARK,11/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0220-01575833-26,3,5,C1,"1,893.67",120,,BEAUMONT E,02/2020,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1124-01216258-25,3,4,C1,"2,762.00",120,,CLONTARF WEST A,11/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1118-01413082-25,3,3,C3,"2,225.00",120,,CLONTARF WEST D,11/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0324-00932984-25,3,0,D1,"2,545.00",104,,CLONTARF EAST D,03/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01656593,3,5,A3,"3,600.00",98,,CLONTARF EAST E,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1124-01216273-25,3,6,A3,"2,448.00",102,,BEAUMONT D,11/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0724-01061672-25,3,4,B3,"3,500.00",95,,CLONTARF EAST E,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0120-01562741-25,3,5,C1,"2,700.00",95,,CLONTARF EAST B,01/2020,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0325-01349416-26,3,6,C3,"2,635.00",95,,CLONTARF WEST D,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0325-01345627,3,0,D1,"2,310.00",95,,BEAUMONT F,03/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01574498,3,5,D1,"1,926.00",107,,CLONTARF EAST D,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01166558-25,3,3,A2,"2,700.00",110,,DRUMCONDRA SOUTH A,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0126-01734967,3,4,C1,"3,500.00",115,,BEAUMONT F,01/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01606101,3,5,D2,"2,815.00",115,,CLONTARF EAST E,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0525-01417072-25,3,4,D1,"3,000.00",116,,DRUMCONDRA SOUTH A,05/2025,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0220-01572005-26,3,0,B3,"2,047.50",100,,HARMONSTOWN B,02/2020,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01692686,3,5,B3,"3,300.00",100,,CLONTARF WEST D,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0126-01725857,3,6,B2,"2,718.00",110,,CLONTARF EAST E,01/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01571055,3,0,B2,"3,200.00",110,,CLONTARF EAST B,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01692887,3,4,C1,"2,350.00",110,,GRACE PARK,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01666802,3,3,C1,"3,400.00",105,,CLONTARF WEST B,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0226-01765144,3,3,C2,"3,300.00",105,,DRUMCONDRA SOUTH A,02/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0325-01349755-26,3,6,E1,"2,300.00",105,,BEAUMONT F,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0619-01484620-26,4,4,,"2,600.00",70,,DRUMCONDRA SOUTH A,06/2019,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01196193-25,4,4,,"2,860.00",75,,DRUMCONDRA SOUTH A,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01690265,2,3,C3,"2,350.00",70,,CLONTARF EAST D,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0824-01118694-25,4,8,B3,"4,200.00",187,,CLONTARF EAST D,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0819-01507441-25,4,6,E1,"2,034.00",160,,CLONTARF EAST D,08/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0524-00997043-25,2,4,C2,"2,700.00",66,,CLONTARF EAST D,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0120-01565787-26,2,4,G,"2,200.00",74,,CLONTARF EAST D,01/2020,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0424-00960595-25,2,2,,"2,250.00",70,,CLONTARF EAST D,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01644053,4,4,B2,"3,000.00",78,,CLONTARF WEST C,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01495883,2,4,F,"1,705.00",76,,CLONTARF EAST D,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0724-01076568-25,4,0,A3,"4,650.00",130,,GRACE PARK,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01513187,4,5,B3,"3,060.00",142,,BEAUMONT E,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0824-01095123-25,4,7,C3,"3,750.00",134,,CLONTARF EAST C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01191348-25,4,8,F,"1,886.00",134,,DRUMCONDRA SOUTH A,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01177198-25,4,7,D2,"3,610.00",132,,DRUMCONDRA SOUTH A,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01687637,4,3,B2,"2,100.00",130,,BEAUMONT D,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0425-01385461-26,4,4,B3,"3,600.00",150,,GRACE PARK,04/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0126-01704900,4,4,C3,"3,500.00",150,,CLONTARF EAST B,01/2026,
