Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
CORK CITY COUNCIL,Cork City South Central,House,RT-0725-01500869,1,2,,"1,235.00",40,72.00,GILLABBEY A,07/2025,
CORK CITY COUNCIL,Cork City South Central,House,RT-0722-00157408-25,1,1,C1,"1,428.00",41,70.67,EVERGREEN,07/2022,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0220-01575647-26,1,2,C2,800.00,42,69.33,EVERGREEN,02/2020,2026
CORK CITY COUNCIL,Cork City South Central,House,RT-1025-01606458,1,2,,"1,625.00",42,69.33,THE LOUGH,10/2025,
CORK CITY COUNCIL,Cork City South Central,House,RT-1024-01191595-25,1,2,,"1,088.00",37,68.00,SOUTH GATE A,10/2024,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0924-01129873-25,1,2,,"1,049.00",37,68.00,SOUTH GATE A,09/2024,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0619-01491910-25,1,2,,932.00,45,67.33,SOUTH GATE B,06/2019,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0525-01433745,1,2,E2,"1,026.00",45,67.33,SOUTH GATE B,05/2025,
CORK CITY COUNCIL,Cork City South Central,House,RT-0319-01457857-25,1,1,,925.00,45,67.33,SOUTH GATE B,03/2019,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0625-01448834,1,2,F,"1,550.00",50,60.67,SOUTH GATE B,06/2025,
CORK CITY COUNCIL,Cork City South Central,House,RT-1025-01614701,1,0,C2,779.00,32,,CITY HALL A,10/2025,
CORK CITY COUNCIL,Cork City South Central,House,RT-0925-01570134,1,2,D2,"1,244.00",32,,CENTRE B,09/2025,
CORK CITY COUNCIL,Cork City South Central,House,RT-1118-01417614-25,1,0,D2,760.00,32,,EVERGREEN,11/2018,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0624-01044922-25,1,1,,"1,200.00",50,,SOUTH GATE B,06/2024,2025
CORK CITY COUNCIL,Cork City South Central,House,RT-0925-01577395,1,2,,"1,259.00",35,,CENTRE B,09/2025,
