Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01445499,2,2,C2,"2,370.00",60,97.00,USHERS C,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01123598-25,2,4,C3,"1,851.00",60,97.00,USHERS C,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0721-01768457-25,2,0,C1,"1,652.00",64,95.44,USHERS C,07/2021,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01773881,2,2,C1,"1,785.00",65,94.56,USHERS C,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0120-01570735-26,2,4,C1,"1,580.00",55,94.56,USHERS C,01/2020,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01653158,2,4,C1,"1,668.00",65,94.56,USHERS C,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0125-01282035-26,2,0,C3,"2,131.00",64,93.44,USHERS C,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01257317-25,2,0,C3,"1,637.00",64,93.44,USHERS C,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0819-01513441-25,2,4,C2,"1,667.00",55,92.56,USHERS C,08/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01495170,2,0,C2,"2,471.00",66,91.67,USHERS C,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0818-01381876-25,1,2,G,667.00,33,,USHERS C,08/2018,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01489129,1,2,B1,"1,795.00",33,,MERCHANTS QUAY A,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0623-00599897-25,1,1,D2,"1,205.00",33,,MERCHANTS QUAY B,06/2023,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01482204,1,2,E1,"1,500.00",33,,USHERS D,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01766708,1,2,F,"1,765.00",33,,MERCHANTS QUAY B,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1024-01167545-25,1,2,F,"1,345.00",33,,MERCHANTS QUAY B,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01399964,1,2,G,"1,635.00",33,,MERCHANTS QUAY B,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01584463,1,2,,"1,400.00",32,,USHERS D,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01560712,1,2,,"1,751.00",32,,MERCHANTS QUAY E,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01146251-25,1,0,,"1,450.00",32,,MERCHANTS QUAY F,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01569800,1,0,A3,"2,015.00",65,,USHERS A,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1123-00784537-25,1,2,A3,"1,943.00",65,,USHERS A,11/2023,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01155084-25,1,0,A2,"2,184.00",67,,USHERS A,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0326-01789719,1,2,A3,"2,200.00",64,,USHERS A,03/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01254892-25,1,0,A3,"1,936.00",64,,USHERS A,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01471835,1,2,A2,"2,150.00",65,,MERCHANTS QUAY B,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01258940-25,1,0,C1,"1,941.00",67,,USHERS A,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0624-01045012-25,1,1,B2,"2,469.00",66,,MERCHANTS QUAY C,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01318965,1,2,B2,"1,600.00",65,,KILMAINHAM B,02/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1225-01673903,1,2,D2,"1,950.00",65,,MERCHANTS QUAY A,12/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01506925,1,2,G,"1,800.00",36,,USHERS C,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01322733-26,1,2,,"1,184.00",35,,USHERS C,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0824-01111547-25,1,0,,"1,776.00",35,,USHERS C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01540196,1,1,G,"1,100.00",38,,USHERS C,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01744332,1,0,A2,"2,306.00",37,,MERCHANTS QUAY C,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01733629,1,0,A2,"2,525.00",37,,MERCHANTS QUAY C,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01551552,1,0,A2,"2,295.00",37,,MERCHANTS QUAY C,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01526626,1,0,A2,"2,295.00",37,,MERCHANTS QUAY C,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01398414,1,0,A2,"2,295.00",37,,MERCHANTS QUAY C,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0824-01092279-25,1,2,C3,"1,543.00",60,,USHERS C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01482617,1,2,D1,"1,733.00",60,,USHERS C,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01732067,1,2,E1,"1,643.00",60,,USHERS C,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0325-01357348-26,1,2,,"1,415.00",60,,USHERS C,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0824-01118511-25,1,2,,"1,285.00",60,,USHERS C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0824-01109165-25,1,2,D1,"1,530.00",39,,USHERS C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1225-01690759,1,2,C3,"1,950.00",43,,USHERS C,12/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0524-00998309-25,1,0,,"1,300.00",40,,USHERS C,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01640608,1,2,C3,"1,875.00",44,,USHERS C,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01575971-26,1,1,D2,"2,000.00",44,,USHERS C,09/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0125-01294841-26,1,0,A3,"1,866.00",41,,USHERS A,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01259756-25,1,0,A3,"1,781.00",41,,USHERS A,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1124-01229308-25,1,1,A3,"1,789.00",41,,USHERS A,11/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01251928-25,1,2,B2,"1,600.00",55,,USHERS C,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0418-01333955-25,1,2,D1,"1,687.00",55,,USHERS C,04/2018,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0325-01355101-25,1,2,D2,"1,611.00",55,,USHERS C,03/2025,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0918-01392779-25,1,1,F,"1,266.00",55,,USHERS C,09/2018,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01729223,1,1,,"1,960.00",55,,USHERS C,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01484769,1,2,B3,"1,324.00",45,,USHERS C,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01059897-25,1,2,B3,"1,307.00",45,,USHERS C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0624-01021636-25,1,1,B3,"1,314.00",45,,USHERS C,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0125-01282104-26,1,0,C3,"1,884.00",45,,USHERS C,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01257276-25,1,0,C3,"1,269.00",45,,USHERS C,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01247669-25,1,0,C3,"1,691.00",45,,USHERS C,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0519-01480024-25,1,2,D2,"1,000.00",45,,USHERS C,05/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0518-01339008-25,1,2,E2,936.00,46,,USHERS C,05/2018,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01062985-25,1,0,A3,"2,160.00",50,,USHERS C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01061482-25,1,0,A3,"2,150.00",50,,USHERS C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01061465-25,1,0,A3,"2,150.00",50,,USHERS C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01058810-25,1,0,A3,"2,165.00",50,,USHERS C,07/2024,2025
