Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1124-01211899-25,3,4,C1,"2,082.00",90,99.00,FIRHOUSE-BALLYCULLEN,11/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0420-01594380-26,3,2,C1,"1,500.00",91,98.41,FIRHOUSE-BALLYCULLEN,04/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0925-01558605,3,3,C3,"2,675.00",90,97.00,FIRHOUSE-BALLYCULLEN,09/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01716262,3,3,C2,"2,477.00",95,94.04,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0525-01439239,3,5,B3,"2,100.00",90,93.00,FIRHOUSE-BALLYCULLEN,05/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01712335,3,5,B2,"2,892.00",90,93.00,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0918-01392489-25,3,5,D2,"2,272.00",90,93.00,FIRHOUSE-BALLYCULLEN,09/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0925-01553612,3,5,B3,"3,000.00",93,91.22,FIRHOUSE-BALLYCULLEN,09/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0320-01582292-26,3,5,D1,"1,523.00",95,90.04,FIRHOUSE-BALLYCULLEN,03/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0725-01482348,3,5,,"2,498.00",90,89.00,FIRHOUSE-BALLYCULLEN,07/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0725-01477539,3,3,D1,"2,356.00",75,,FIRHOUSE VILLAGE,07/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1025-01603496,3,3,D1,"2,070.00",76,,EDMONDSTOWN,10/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0119-01438932-26,3,6,,"2,299.00",74,,EDMONDSTOWN,01/2019,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01722316,3,3,A1,"2,270.00",100,,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0320-01584425-26,3,5,A2,"2,300.00",101,,FIRHOUSE-BALLYCULLEN,03/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0120-01564544-25,3,5,A2,"2,594.00",101,,FIRHOUSE-BALLYCULLEN,01/2020,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01709908,3,5,A2,"2,508.00",102,,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0825-01526453,3,6,A2,"2,520.00",102,,FIRHOUSE-BALLYCULLEN,08/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0625-01472189,3,5,A2,"2,534.00",103,,FIRHOUSE-BALLYCULLEN,06/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0325-01365697-26,3,5,A2,"3,100.00",103,,FIRHOUSE-BALLYCULLEN,03/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0925-01568407,3,5,C1,500.00,130,,FIRHOUSE-BALLYCULLEN,09/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0618-01350072-25,3,5,,"1,696.00",140,,FIRHOUSE-BALLYCULLEN,06/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0718-01366737-25,3,3,D1,"2,172.00",140,,EDMONDSTOWN,07/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1024-01195569-25,3,6,A3,"2,900.00",120,,FIRHOUSE-BALLYCULLEN,10/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0625-01466266,3,8,B3,"3,000.00",135,,FIRHOUSE VILLAGE,06/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0425-01405522,3,0,A3,"2,668.00",117,,FIRHOUSE-BALLYCULLEN,04/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0624-01025911-25,3,0,A2,"2,638.00",116,,FIRHOUSE-BALLYCULLEN,06/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0625-01443494,3,0,A3,"2,622.00",116,,FIRHOUSE-BALLYCULLEN,06/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1124-01204087-25,3,0,A3,"2,736.00",116,,FIRHOUSE-BALLYCULLEN,11/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0425-01406986,3,6,A3,"2,995.00",115,,FIRHOUSE-BALLYCULLEN,04/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1023-00719650-25,3,0,C2,"1,766.00",78,,FIRHOUSE VILLAGE,10/2023,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0725-01498607-26,3,3,D1,"1,598.00",80,,EDMONDSTOWN,07/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0226-01763881,3,0,,"2,800.00",80,,FIRHOUSE VILLAGE,02/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0120-01567261-26,3,0,,"2,788.00",80,,FIRHOUSE-KNOCKLYON,01/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1119-01545161-25,3,3,,"2,300.00",80,,EDMONDSTOWN,11/2019,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0325-01345015-26,3,6,,"2,750.00",80,,BOHERNABREENA,03/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1118-01420355-25,3,5,,"1,510.00",84,,FIRHOUSE-BALLYCULLEN,11/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0518-01346650-25,3,6,D1,"1,803.00",85,,FIRHOUSE VILLAGE,05/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1020-01666133-26,3,0,C2,"1,600.00",86,,FIRHOUSE VILLAGE,10/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0424-00955694-25,3,5,A2,"2,900.00",114,,FIRHOUSE-BALLYCULLEN,04/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1124-01226010-25,3,0,A3,"2,724.00",114,,FIRHOUSE-BALLYCULLEN,11/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0924-01151580-25,3,0,A3,"2,716.00",114,,FIRHOUSE-BALLYCULLEN,09/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0325-01356194,3,6,A2,"2,530.00",110,,FIRHOUSE-BALLYCULLEN,03/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0824-01121167-25,3,6,A2,"3,490.00",100,,FIRHOUSE-BALLYCULLEN,08/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0724-01047937-25,3,5,A3,"2,800.00",101,,FIRHOUSE-BALLYCULLEN,07/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1224-01255477-25,3,6,A2,"2,605.00",102,,FIRHOUSE-BALLYCULLEN,12/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1224-01255498-25,3,6,A2,"2,489.00",102,,FIRHOUSE-BALLYCULLEN,12/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0425-01381338-25,3,5,A2,"2,435.00",102,,FIRHOUSE-BALLYCULLEN,04/2025,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0825-01526363,4,8,,"2,395.00",80,,FIRHOUSE-BALLYCULLEN,08/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0226-01778235,4,6,A2,"2,797.00",133,,FIRHOUSE-BALLYCULLEN,02/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0120-01564564-25,4,6,A2,"2,994.00",130,,FIRHOUSE-BALLYCULLEN,01/2020,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1025-01595793,4,9,A2,"2,982.00",133,,FIRHOUSE-BALLYCULLEN,10/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0925-01571597,4,6,A2,"2,756.00",133,,FIRHOUSE-BALLYCULLEN,09/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0925-01571474,4,6,A2,"2,762.00",133,,FIRHOUSE-BALLYCULLEN,09/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0825-01520877,4,3,A2,"3,400.00",132,,FIRHOUSE-BALLYCULLEN,08/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0325-01367636,4,0,A2,"2,892.00",141,,FIRHOUSE-BALLYCULLEN,03/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0325-01348896-26,4,7,A2,"2,748.00",140,,FIRHOUSE-BALLYCULLEN,03/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0225-01325795-26,4,7,A2,"2,908.00",130,,FIRHOUSE-BALLYCULLEN,02/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1124-01225508-25,4,8,A2,"2,800.00",142,,FIRHOUSE-BALLYCULLEN,11/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01730107,4,8,A3,"3,434.00",142,,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1024-01191401-25,4,0,A3,"2,909.00",144,,FIRHOUSE-BALLYCULLEN,10/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0824-01100093-25,4,7,A2,"2,766.00",134,,FIRHOUSE-BALLYCULLEN,08/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0226-01760257,4,4,D2,"3,250.00",80,,EDMONDSTOWN,02/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0419-01467989-26,4,0,,"2,000.00",80,,FIRHOUSE VILLAGE,04/2019,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0225-01319587-26,4,6,A2,"2,695.00",133,,FIRHOUSE-BALLYCULLEN,02/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1124-01224200-25,4,8,A2,"2,710.00",130,,FIRHOUSE-BALLYCULLEN,11/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0725-01510096-25,4,0,A2,"2,670.00",130,,FIRHOUSE-BALLYCULLEN,07/2025,2025
