Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0818-01376215-25,1,2,C3,941.00,43,89.00,SALTHILL,08/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0622-00099967-25,1,1,,712.00,40,89.00,SALTHILL,06/2022,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0925-01563737-26,1,2,,821.00,40,89.00,SALTHILL,09/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0524-00985824-25,1,0,D1,"1,167.00",44,87.67,SALTHILL,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0225-01331082-25,1,1,,"1,150.00",42,86.33,SALTHILL,02/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1225-01696082,1,2,D1,"1,500.00",37,72.00,KNOCKNACARRAGH,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0819-01504075-25,1,2,,850.00,40,72.00,TAYLORS HILL,08/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01488534,1,1,,"1,600.00",40,72.00,TAYLORS HILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01492664,1,1,,950.00,40,72.00,KNOCKNACARRAGH,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0922-00244287-26,1,0,,719.00,40,72.00,ROCKBARTON,09/2022,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1124-01224315-25,1,0,D2,"1,800.00",35,,SALTHILL,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0424-00957631-25,1,1,A2,"1,800.00",60,,SALTHILL,04/2024,2025
