Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0724-01075314-25,3,3,C1,"1,607.00",92,95.81,SALTHILL,07/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0325-01338616-26,3,5,C3,"1,816.00",99,91.67,SALTHILL,03/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0319-01460266-25,3,5,,"1,200.00",90,89.00,SALTHILL,03/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0419-01467560-25,3,0,D2,"1,584.00",97,88.85,SALTHILL,04/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0619-01491398-25,3,0,C3,"1,318.00",89,79.41,TAYLORS HILL,06/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01609384,3,0,C2,"1,975.00",85,79.04,BARNA,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01492352,3,3,C2,"1,240.00",85,79.04,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0625-01455543,3,0,C2,"1,950.00",85,79.04,TAYLORS HILL,06/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0625-01456206,3,5,C2,"2,300.00",95,79.04,BARNA,06/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0225-01333901-26,3,0,C1,"2,372.00",93,78.22,KNOCKNACARRAGH,02/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1124-01223571-25,2,3,C1,"1,025.00",60,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1225-01684164,2,0,E2,"2,105.00",65,,TAYLORS HILL,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01605586,2,3,C2,"2,230.00",100,,SALTHILL,10/2025,
