Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0120-01567044-26,1,2,B3,"1,770.00",41,97.67,PEMBROKE WEST C,01/2020,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01534798,1,2,B2,"1,612.00",38,94.33,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0925-01552773,1,0,C2,"1,833.00",40,93.00,PEMBROKE WEST C,09/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0424-00959755-25,1,1,C3,"1,418.00",40,93.00,PEMBROKE WEST C,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0925-01552922,1,0,D1,"1,360.00",40,93.00,PEMBROKE WEST C,09/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0524-01002991-25,1,2,D1,"2,100.00",40,93.00,PEMBROKE WEST C,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1219-01553210-25,1,0,D2,"1,194.00",40,93.00,PEMBROKE WEST C,12/2019,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01670839,1,2,D2,"1,828.00",40,93.00,PEMBROKE WEST C,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0524-00982191-25,1,2,D2,"1,491.00",40,93.00,PEMBROKE WEST C,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0424-00944089-25,1,2,E2,"1,788.00",40,93.00,PEMBROKE WEST C,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01779216,1,1,C2,"1,495.00",32,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0422-00062213-25,1,1,G,714.00,32,,PEMBROKE WEST C,04/2022,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01484214,1,2,C2,"1,536.00",33,,PEMBROKE WEST C,07/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01451068,1,2,E1,"1,655.00",33,,PEMBROKE WEST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0819-01504164-25,1,1,,680.00,32,,PEMBROKE WEST C,08/2019,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01500280-26,1,2,,"2,200.00",32,,PEMBROKE WEST C,07/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01747111,1,0,,"1,747.00",33,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01693582,1,0,,"1,934.00",33,,PEMBROKE WEST C,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0225-01332757-26,1,0,,"1,758.00",33,,PEMBROKE WEST C,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0624-01032336-25,1,0,,"1,749.00",33,,PEMBROKE WEST C,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0325-01347683-26,1,2,C2,"1,859.00",65,,PEMBROKE WEST C,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0325-01363376,1,1,A3,"2,763.00",54,,PEMBROKE WEST C,03/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0924-01143837-25,1,2,D2,"2,030.00",61,,PEMBROKE WEST C,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01524591,1,2,,"1,758.00",67,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01589559,1,2,E1,"1,985.00",60,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01518328,1,2,E2,"2,200.00",60,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0824-01106356-25,2,2,A2,"3,308.00",80,,PEMBROKE WEST C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1224-01235387-25,1,2,D1,"2,047.00",59,,PEMBROKE WEST C,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01682651,1,0,,"1,620.00",65,,PEMBROKE WEST C,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0525-01416722,1,2,,"1,762.00",65,,PEMBROKE WEST C,05/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0425-01404130,1,0,B2,"2,033.00",35,,PEMBROKE WEST C,04/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0325-01357858-26,1,0,B2,"1,727.00",35,,PEMBROKE WEST C,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0325-01351739-26,1,0,B3,"1,642.00",35,,PEMBROKE WEST C,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0125-01265628-26,1,0,B3,"1,937.00",35,,PEMBROKE WEST C,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0624-01030968-25,1,0,B3,"1,716.00",35,,PEMBROKE WEST C,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01756759,1,2,C2,"2,300.00",35,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01618855,1,2,G,"1,600.00",35,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0225-01314047,1,1,C2,"1,800.00",36,,PEMBROKE WEST C,02/2025,
