Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0424-00960023-25,3,6,C3,560,98,97.93,BALLYSHANNON URBAN,Apr-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0724-01070849-25,3,6,D1,950,100,93,BALLYSHANNON URBAN,Jul-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0818-01374163-25,3,0,B1,520,100,93,BALLYSHANNON URBAN,Aug-18,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0225-01305282-26,3,5,A2,"1,516.67",100,93,BALLYSHANNON URBAN,Feb-25,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0126-01699687,3,3,,"1,000.00",100,89,BALLYSHANNON URBAN,Jan-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1025-01591777,3,6,C2,750,100,80,BUNDORAN URBAN,Oct-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0925-01561178,3,3,C1,800,100,80,PETTIGOE,Sept-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0424-00962360-25,3,3,C1,800,100,80,DONEGAL,Apr-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1018-01407534-25,3,5,C2,500,102,78.93,BUNDORAN URBAN,Oct-18,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0424-00948559-25,3,4,C3,800,90,76.67,BUNDORAN RURAL,Apr-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0125-01297136-26,1,1,E2,758.33,45,,BALLYSHANNON RURAL,Jan-25,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0126-01719171,1,1,,550,37,,LAGHY,Jan-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0925-01586230,1,1,,650,37,,KILLYBEGS,Sept-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0324-00930695-26,1,2,,600,100,,BALLYSHANNON RURAL,Mar-24,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0523-00557313-25,2,4,D2,541.67,71,,BUNDORAN URBAN,May-23,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0326-01790747,2,2,C1,563.33,65,,,Mar-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0725-01503825,3,5,,"1,000.00",77,,BALLYSHANNON URBAN,Jul-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0925-01581540,2,2,,800,72,,BUNDORAN URBAN,Sept-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0220-01573839-26,4,0,B3,850,65,,DONEGAL,Feb-20,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0818-01379030-25,3,3,D2,700,70,,DONEGAL,Aug-18,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1225-01688428,2,2,,612,50,,TAWNAWULLY,Dec-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0625-01448304,2,2,E1,550,59,,INVER,Jun-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0226-01766242,3,3,,580,70,,TANTALLON,Feb-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0725-01476526,3,4,,600,58,,BALLINTRA,Jul-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0225-01316416-26,2,4,A1,"1,300.00",85,,BALLYSHANNON URBAN,Feb-25,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0126-01726851,2,2,A2,850,91,,DONEGAL,Jan-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0325-01353635-26,2,2,A2,"1,200.00",91,,INVER,Mar-25,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0226-01755411,2,4,C2,800,90,,PETTIGOE,Feb-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0924-01157987-25,2,2,C2,866.67,84,,KILLYBEGS,Sept-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1124-01218401-25,2,0,D1,650,90,,KILLYBEGS,Nov-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1219-01558285-25,2,4,D2,616,80,,BUNDORAN URBAN,Dec-19,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0625-01470901,2,2,,750,80,,KILLYBEGS,Jun-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0819-01506377-25,3,5,E1,850,73,,DONEGAL,Aug-19,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1124-01224848-25,2,4,D2,550,101,,GLENCOLUMBKILLE,Nov-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0425-01406445,3,3,D1,875,75,,BALLINTRA,Apr-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1124-01228812-25,2,2,,650,90,,DONEGAL,Nov-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0225-01318380-26,2,3,,800,80,,BUNDORAN URBAN,Feb-25,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0125-01272327-25,2,2,,800,83,,BUNDORAN URBAN,Jan-25,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0824-01088532-25,2,3,,"1,400.00",100,,BUNDORAN URBAN,Aug-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1024-01180488-25,2,4,,866.67,100,,BUNDORAN URBAN,Oct-24,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0126-01730256,2,3,,612,100,,TANTALLON,Jan-26,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1025-01621627,2,2,,685,120,,TANTALLON,Oct-25,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0125-01276735-26,2,3,,866.67,120,,KILLYBEGS,Jan-25,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0725-01500290,2,2,,700,100,,PETTIGOE,Jul-25,
