Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated,Tenancy Start Parsed,Match Category
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-1125-01630875,3,0,C1,2900.0,91,76.86,BEAUMONT D,11/2025,,2025-11-01,Exact
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0725-01498296,3,6,C1,2500.0,75,76.86,CLONTARF WEST B,07/2025,,2025-07-01,Exact
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0226-01768652,3,5,E2,2850.0,85,,CLONTARF WEST A,02/2026,,2026-02-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0226-01771584,3,4,C3,2307.0,82,79.36,CLONTARF EAST B,02/2026,,2026-02-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0226-01761845,3,5,C2,3200.0,89,76.14,BEAUMONT F,02/2026,,2026-02-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0226-01778218,3,3,,1720.0,85,,CLONTARF WEST D,02/2026,,2026-02-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0126-01719184,3,3,,2650.0,75,,BEAUMONT E,01/2026,,2026-01-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-0126-01737240,3,3,,2327.0,75,,BEAUMONT F,01/2026,,2026-01-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-1225-01673359,3,2,B3,1500.0,75,,DRUMCONDRA SOUTH A,12/2025,,2025-12-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,CLONTARF,HOUSE,RT-1225-01684174,3,5,E2,2050.0,78,,GRACE PARK,12/2025,,2025-12-01,BER relaxed
