Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated,Tenancy Start Parsed,Match Category
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0625-01454671,1,2,B3,1800.0,40,,RATHMINES EAST D,06/2025,,2025-06-01,Exact
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0425-01393565,1,2,B3,2400.0,40,,RATHMINES WEST B,04/2025,,2025-04-01,Exact
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0425-01393466,1,2,B3,2250.0,40,,RATHMINES WEST B,04/2025,,2025-04-01,Exact
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0120-01567044-26,1,2,B3,1770.0,41,97.67,PEMBROKE WEST C,01/2020,2026.0,2020-01-01,Exact
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0326-01796267,1,2,C3,2180.0,40,,RATHMINES EAST B,03/2026,,2026-03-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0226-01747316,1,2,C3,1850.0,40,,RATHMINES EAST A,02/2026,,2026-02-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0226-01762376,1,2,D1,1800.0,44,,PEMBROKE WEST C,02/2026,,2026-02-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0126-01704658,1,0,,1750.0,40,,RATHMINES EAST D,01/2026,,2026-01-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-0126-01705450,1,2,C3,1925.0,36,,PEMBROKE EAST E,01/2026,,2026-01-01,BER relaxed
DUBLIN CITY COUNTY COUNCIL,PEMBROKE,APARTMENT / FLAT,RT-1225-01670839,1,2,D2,1828.0,40,93.0,PEMBROKE WEST C,12/2025,,2025-12-01,BER relaxed
